Date;c25;sp500;dax
09-02-2022;1.765,05;4587,180176;15482,00977
08-02-2022;1.698,86;4521,540039;15242,37988
07-02-2022;1.735,72;4483,870117;15206,63965
04-02-2022;1.723,25;4500,529785;15099,55957
03-02-2022;1.768,46;4477,439941;15368,46973
02-02-2022;1.818,66;4589,379883;15613,76953
01-02-2022;1.779,91;4546,540039;15619,38965
31-01-2022;1.776,23;4515,549805;15471,2002
28-01-2022;1.731,37;4431,850098;15318,9502
27-01-2022;1.759,84;4326,509766;15524,26953
26-01-2022;1.747,16;4349,930176;15459,38965
25-01-2022;1.710,58;4356,450195;15123,87012
24-01-2022;1.719,09;4410,129883;15011,12988
21-01-2022;1.780,53;4397,939941;15603,87988
20-01-2022;1.831,19;4482,72998;15912,33008
19-01-2022;1.809,10;4532,759766;15809,71973
18-01-2022;1.795,44;4577,109863;15772,55957
14-01-2022;1.814,95;4662,850098;15883,24023
13-01-2022;1.858,30;4659,029785;16031,58984
12-01-2022;1.864,46;4726,350098;16010,32031
11-01-2022;1.842,55;4713,069824;15941,80957
10-01-2022;1.825,51;4670,290039;15768,26953
06-01-2022;1.887,62;4696,049805;16052,03027
05-01-2022;1.947,63;4700,580078;16271,75
04-01-2022;1.952,81;4793,540039;16152,61035
03-01-2022;1.970,95;4796,560059;16020,73047
30-12-2021;1.965,65;4778,72998;15884,86035
29-12-2021;1.958,74;4793,060059;15852,25
28-12-2021;1.955,47;4786,350098;15963,7002
27-12-2021;1.953,03;4791,189941;15835,25
23-12-2021;1.930,05;4725,790039;15756,30957
22-12-2021;1.924,02;4696,560059;15593,46973
21-12-2021;1.889,82;4649,22998;15447,44043
20-12-2021;1.865,54;4568,02002;15239,66992
17-12-2021;1.902,51;4620,640137;15531,69043
16-12-2021;1.921,44;4668,669922;15636,40039
15-12-2021;1.894,15;4709,850098;15476,34961
14-12-2021;1.869,39;4634,089844;15453,55957
13-12-2021;1.912,87;4668,970215;15621,71973
10-12-2021;1.909,44;4712,02002;15623,30957
09-12-2021;1.930,11;4667,450195;15639,25977
08-12-2021;1.924,34;4701,209961;15687,08984
07-12-2021;1.908,58;4686,75;15813,94043
06-12-2021;1.844,40;4591,669922;15380,79004
03-12-2021;1.837,61;4538,430176;15169,98047
02-12-2021;1.850,47;4577,100098;15263,11035
01-12-2021;1.898,94;4513,040039;15472,66992
30-11-2021;1.882,55;4567;15100,12988
29-11-2021;1.896,88;4655,27002;15280,86035
26-11-2021;1.907,66;4594,620117;15257,04004
24-11-2021;1.905,69;4701,459961;15878,38965
23-11-2021;1.909,34;4690,700195;15937
22-11-2021;1.973,26;4682,939941;16115,69043
19-11-2021;1.988,88;4697,959961;16159,96973
18-11-2021;1.995,92;4704,540039;16221,73047
17-11-2021;2.002,45;4688,669922;16251,12988
16-11-2021;2.002,38;4700,899902;16247,86035
15-11-2021;2.009,86;4682,799805;16148,63965
12-11-2021;2.020,69;4682,850098;16094,07031
11-11-2021;2.003,23;4649,27002;16083,11035
10-11-2021;1.975,53;4646,709961;16067,83008
09-11-2021;1.992,64;4685,25;16040,46973
08-11-2021;1.985,41;4701,700195;16046,51953
05-11-2021;1.955,16;4697,529785;16054,36035
04-11-2021;1.991,18;4680,060059;16029,65039
03-11-2021;1.976,17;4660,569824;15959,98047
02-11-2021;1.990,65;4630,649902;15954,4502
01-11-2021;1.982,89;4613,669922;15806,29004
29-10-2021;1.971,32;4605,379883;15688,76953
28-10-2021;1.979,34;4596,419922;15696,33008
27-10-2021;1.965,13;4551,680176;15705,80957
26-10-2021;1.972,75;4574,790039;15757,05957
25-10-2021;1.968,54;4566,47998;15599,23047
22-10-2021;1.966,34;4544,899902;15542,98047
21-10-2021;1.947,00;4549,779785;15472,55957
20-10-2021;1.937,88;4536,189941;15522,91992
19-10-2021;1.922,77;4519,629883;15515,83008
18-10-2021;1.899,05;4486,459961;15474,46973
15-10-2021;1.898,65;4471,370117;15587,36035
14-10-2021;1.873,74;4438,259766;15462,71973
13-10-2021;1.888,70;4363,799805;15249,37988
12-10-2021;1.842,70;4350,649902;15146,87012
11-10-2021;1.826,03;4361,189941;15199,13965
08-10-2021;1.839,72;4391,339844;15206,12988
07-10-2021;1.863,12;4399,759766;15250,86035
06-10-2021;1.840,84;4363,549805;14973,33008
05-10-2021;1.839,95;4345,720215;15194,49023
04-10-2021;1.823,92;4300,459961;15036,54981
01-10-2021;1.856,66;4357,040039;15156,44043
30-09-2021;1.880,62;4307,540039;15260,69043
29-09-2021;1.892,92;4359,459961;15365,26953
28-09-2021;1.883,67;4352,629883;15248,55957
27-09-2021;1.931,97;4443,109863;15573,87988
24-09-2021;1.964,46;4455,47998;15531,75
23-09-2021;1.998,06;4448,97998;15643,96973
22-09-2021;1.969,05;4395,640137;15506,74023
21-09-2021;1.964,60;4354,189941;15348,53027
20-09-2021;1.927,68;4357,72998;15132,05957
17-09-2021;1.955,65;4432,990234;15490,16992
16-09-2021;1.967,93;4473,75;15651,75
